,xpath,label-key,comment,guidance,index
47,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TITLE_CONTRACT,,,,
48,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE,,,,
49,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_CONTRACT,,,,
50,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_WORK_CONTRACT,,,,
51,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_WORK_CONTRACT/DESIGN_EXECUTION,,,,
52,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_WORK_CONTRACT/EXECUTION,,,,
53,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_WORK_CONTRACT/REALISATION_REQUIREMENTS_SPECIFIED_CONTRACTING_AUTHORITIES,,,,
54,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/TYPE_SUPPLIES_CONTRACT,,,,
55,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/TYPE_CONTRACT_W_PUB_DEFENCE/SERVICE_CATEGORY_PUB_DEFENCE,,,,
56,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/LOCATION_NUTS,,,,
57,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/LOCATION_NUTS/LOCATION,,,,
58,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/LOCATION_NUTS/NUTS,,,,
59,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/NOTICE_INVOLVES_DESC_DEFENCE,,,,
60,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/SHORT_CONTRACT_DESCRIPTION,,,,
61,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/CPV,,,,
62,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/CPV/CPV_MAIN,,,,
63,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE/CPV/CPV_MAIN/CPV_CODE,,,,
