Form type,Notice number,Related article,Directive,Notice type,Definition,Notice description
Result,30,Art. 70 of Directive 2014/25/EU,Directive 2014/25/EU,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Contract award notice — sectoral directive, standard regime"
Result,31,Art. 30(3) of Directive 2009/81/EC,Directive 2009/81/EC,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Contract award notice — defence directive, standard regime"
Result,32,Art. 32(2) (reference to Annex VII) of Directive 2014/23/EU,Directive 2014/23/EU,Contract or concession award notice – standard regime,"Announcement of the results of a call for competition concerning contracts or concessions.Not later than 30 days after the conclusion of a contract or of a framework agreement, following the decision to award or conclude it, contracting authorities shall send a contract award notice on the results of the procurement procedure.Such notices shall contain the information set out in Annex V part D and shall be published in accordance with Article 51","Concession award notice — concession directive, standard regime"
Result,33,Art. 75(2) of Directive 2014/24/EU,Directive 2014/24/EU,Contract or concession award notice – light regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Contract award notice — general directive, light regime"
Result,34,Art. 92(2) of Directive 2014/25/EU,Directive 2014/25/EU,Contract or concession award notice – light regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Contract award notice — sectoral directive, light regime"
Result,35,Art. 32(2) (reference to Annex VIII) of Directive 2014/23/EU,Directive 2014/23/EU,Contract or concession award notice – light/social regime,Announcement of the results of a call for competition concerning contracts or concessions for social and other specific services.,"Concession award notice — concessions directive, light/social regime"
Result,36,Art. 79(2) of Directive 2014/24/EU,Directive 2014/24/EU,Design contest result notice,"Announcement of the results of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that have held a design contest shall send a notice of the results of the contest in accordance with Article 51 and shall be able to prove the date of dispatch.","Design contest result notice — general directive, design"
Result,37,Art. 96(1) second subparagraph of Directive 2014/25/EU,Directive 2014/25/EU,Design contest result notice,"Announcement of the results of a call for competition concerning the aquisition, mainly in the fields of town and country planning, architecture and engineering or data processing, of a plan or design selected by a jury.Contracting authorities that have held a design contest shall send a notice of the results of the contest in accordance with Article 51 and shall be able to prove the date of dispatch.","Design contest result notice — sectoral directive, design"
Contract modification,38,Art. 72(1) of Directive 2014/24/EU,Directive 2014/24/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — general directive
Contract modification,39,Art. 89(1) of Directive 2014/25/EU,Directive 2014/25/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — sectoral directive
Contract modification,40,Art. 43(1) of Directive 2014/23/EU,Directive 2014/23/EU,Contract modification notice,Announcement of modifications to a contract during its term.Contracts and framework agreements may be modified without a new procurement procedure in accordance with Directive 2014/24/EU.,Contract modification notice — concessions directive
Change,any other standard form and the Notice and Change sections from Table 2,changing any of the notices listed above,,Change notice,Information about changes to the notice. This information may differ per section of the previous notice.,Change notice
